
---------- Begin Simulation Statistics ----------
simSeconds                                   0.045079                       # Number of seconds simulated (Second)
simTicks                                  45078751000                       # Number of ticks simulated (Tick)
finalTick                                 45078751000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    527.49                       # Real time elapsed on the host (Second)
hostTickRate                                 85458889                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     831372                       # Number of bytes of host memory used (Byte)
simInsts                                     14741889                       # Number of instructions simulated (Count)
simOps                                       52763671                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    27947                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     100028                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        90157503                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                             17.277695                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.057878                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       13523543                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 3001760                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      16325545                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  3141                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              673068                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          1116857                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                332                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           89992916                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.181409                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             0.642836                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 79864955     88.75%     88.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  6666042      7.41%     96.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  2175995      2.42%     98.57% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                   699377      0.78%     99.35% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                   162775      0.18%     99.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   161985      0.18%     99.71% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   133221      0.15%     99.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                    79497      0.09%     99.95% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                    49069      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             89992916                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  64315     72.57%     72.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     72.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     72.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     72.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     72.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     72.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     72.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     72.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     72.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     72.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     72.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                    13      0.01%     72.59% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     72.59% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                   141      0.16%     72.74% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     72.74% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                    88      0.10%     72.84% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                   20      0.02%     72.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     72.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     72.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     72.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                 148      0.17%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMatMultAcc            0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash                0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash2               0      0.00%     73.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash              0      0.00%     73.03% # attempts to use FU when none available (Count)
