
---------- Begin Simulation Statistics ----------
simSeconds                                   0.045769                       # Number of seconds simulated (Second)
simTicks                                  45769020500                       # Number of ticks simulated (Tick)
finalTick                                 45769020500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    485.99                       # Real time elapsed on the host (Second)
hostTickRate                                 94177070                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     843784                       # Number of bytes of host memory used (Byte)
simInsts                                     14835554                       # Number of instructions simulated (Count)
simOps                                       52933348                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    30527                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     108919                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        91538042                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                             17.418117                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.057411                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       13618829                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 3001699                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      16413403                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  2631                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              698732                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          1154278                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                346                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           91378786                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.179619                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             0.639686                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 81209400     88.87%     88.87% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  6674469      7.30%     96.18% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  2196522      2.40%     98.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                   709965      0.78%     99.36% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                   162965      0.18%     99.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   161785      0.18%     99.71% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   137892      0.15%     99.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                    78446      0.09%     99.95% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                    47342      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             91378786                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  64322     72.83%     72.83% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     72.83% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     72.83% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     72.83% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     72.83% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     72.83% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     72.83% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     72.83% # attempts to use FU when none available (Count)
